ID	GROUP	SESSION	DATE	TIME	TRIAL_BLK	BLK_NO	DISTRIBUTION	AMP	LOGICAL_AMP	PHY_BOUND	DISTANCE	TRUE_CAT	SUB RESPONSE	FEEDBACK	RT	CORRECT_B	CORRECT_S	pDISTRIBUTION	pAMP	pphyBOUND	pDISTANCE	pTRUE_CAT	pSUB RESPONSE	pFEEDBACK	pRT	TOTAL_BLK	TOTAL_TRIAL_INBLK	TRIAL_SSE
1	0	1	20260611	155340	20	2	1	56.594	-0.2271	60	3.406	0	0	1	1.4657226	18	46	1	70.3493	60	10.3493	1	1	1	0.6507233	13	55	50
1	0	1	20260611	155343	21	2	1	55.1147	-0.3257	60	4.8853	0	0	1	0.6163821	19	47	1	56.594	60	3.406	0	0	1	1.4657226	13	55	51
1	0	1	20260611	155345	22	2	1	45.5329	-0.9645	60	14.4671	0	0	1	0.6164076	20	48	1	55.1147	60	4.8853	0	0	1	0.6163821	13	55	52
1	0	1	20260611	155347	23	2	1	56.6424	-0.2238	60	3.3576	0	0	1	0.8665851	21	49	1	45.5329	60	14.4671	0	0	1	0.6164076	13	55	53
1	0	1	20260611	155350	24	2	1	64.6762	0.3117	60	4.6762	1	0	0	1.9162848	21	49	1	56.6424	60	3.3576	0	0	1	0.8665851	13	55	54
1	0	1	20260611	155353	25	2	1	71.5013	0.7668	60	11.5013	1	1	1	0.7830397	22	50	1	64.6762	60	4.6762	1	0	0	1.9162848	13	55	55
1	0	1	20260611	155356	26	2	1	70.6723	0.7115	60	10.6723	1	1	1	1.5316119	23	51	1	71.5013	60	11.5013	1	1	1	0.7830397	13	55	56
1	0	1	20260611	155359	27	2	1	64.3497	0.29	60	4.3497	1	0	0	1.0508612	23	51	1	70.6723	60	10.6723	1	1	1	1.5316119	13	55	57
1	0	1	20260611	155402	28	2	1	63.7345	0.249	60	3.7345	1	1	1	1.9357855	24	52	1	64.3497	60	4.3497	1	0	0	1.0508612	13	55	58
1	0	1	20260611	155405	29	2	1	72.2413	0.8161	60	12.2413	1	1	1	1.3342148	25	53	1	63.7345	60	3.7345	1	1	1	1.9357855	13	55	59
1	0	1	20260611	155408	30	2	1	48.6847	-0.7544	60	11.3153	0	0	1	0.6656739	26	54	1	72.2413	60	12.2413	1	1	1	1.3342148	13	55	60
1	0	1	20260611	155411	31	2	1	58.5099	-0.0993	60	1.4901	0	0	1	0.7805572	27	55	1	48.6847	60	11.3153	0	0	1	0.6656739	13	55	61
1	0	1	20260611	155413	32	2	1	73.1922	0.8795	60	13.1922	1	1	1	1.0988758	28	56	1	58.5099	60	1.4901	0	0	1	0.7805572	13	55	62
1	0	1	20260611	155416	33	2	1	67.1946	0.4796	60	7.1946	1	1	1	1.751302	29	57	1	73.1922	60	13.1922	1	1	1	1.0988758	13	55	63
1	0	1	20260611	155419	34	2	1	58.9694	-0.0687	60	1.0306	0	1	0	2.6167819	29	57	1	67.1946	60	7.1946	1	1	1	1.751302	13	55	64
1	0	1	20260611	155424	35	2	1	54.136	-0.3909	60	5.864	0	0	1	0.7665842	30	58	1	58.9694	60	1.0306	0	1	0	2.6167819	13	55	65
1	0	1	20260611	155426	36	2	1	56.5652	-0.229	60	3.4348	0	0	1	0.6145258	31	59	1	54.136	60	5.864	0	0	1	0.7665842	13	55	66
1	0	1	20260611	155428	37	2	1	58.7144	-0.0857	60	1.2856	0	0	1	0.5816159	32	60	1	56.5652	60	3.4348	0	0	1	0.6145258	13	55	67
1	0	1	20260611	155431	38	2	1	62.9261	0.1951	60	2.9261	1	0	0	0.7640243	32	60	1	58.7144	60	1.2856	0	0	1	0.5816159	13	55	68
1	0	1	20260611	155433	39	2	1	58.6519	-0.0899	60	1.3481	0	0	1	0.9505264	33	61	1	62.9261	60	2.9261	1	0	0	0.7640243	13	55	69
1	0	1	20260611	155436	40	2	1	73.2909	0.8861	60	13.2909	1	1	1	0.5998691	34	62	1	58.6519	60	1.3481	0	0	1	0.9505264	13	55	70
1	0	1	20260611	155438	41	2	1	50.7408	-0.6173	60	9.2592	0	0	1	1.0499589	35	63	1	73.2909	60	13.2909	1	1	1	0.5998691	13	55	71
1	0	1	20260611	155441	42	2	1	58.1343	-0.1244	60	1.8657	0	0	1	0.5834359	36	64	1	50.7408	60	9.2592	0	0	1	1.0499589	13	55	72
1	0	1	20260611	155443	43	2	1	57.9876	-0.1342	60	2.0124	0	0	1	1.483771	37	65	1	58.1343	60	1.8657	0	0	1	0.5834359	13	55	73
1	0	1	20260611	155446	44	2	1	54.8207	-0.3453	60	5.1793	0	0	1	0.7495096	38	66	1	57.9876	60	2.0124	0	0	1	1.483771	13	55	74
1	0	1	20260611	155448	45	2	1	62.6849	0.179	60	2.6849	1	1	1	1.4822048	39	67	1	54.8207	60	5.1793	0	0	1	0.7495096	13	55	75
1	0	1	20260611	155451	46	2	1	63.432	0.2288	60	3.432	1	1	1	0.5340735	40	68	1	62.6849	60	2.6849	1	1	1	1.4822048	13	55	76
1	0	1	20260611	155453	47	2	1	58.7909	-0.0806	60	1.2091	0	1	0	1.6156995	40	68	1	63.432	60	3.432	1	1	1	0.5340735	13	55	77
1	0	1	20260611	155457	48	2	1	54.6751	-0.355	60	5.3249	0	0	1	1.2994692	41	69	1	58.7909	60	1.2091	0	1	0	1.6156995	13	55	78
1	0	1	20260611	155500	49	2	1	55.3472	-0.3102	60	4.6528	0	0	1	1.3651803	42	70	1	54.6751	60	5.3249	0	0	1	1.2994692	13	55	79
1	0	1	20260611	155503	50	2	1	56.0301	-0.2647	60	3.9699	0	0	1	1.3165045	43	71	1	55.3472	60	4.6528	0	0	1	1.3651803	13	55	80
1	0	1	20260611	155508	51	2	1	54.9965	-0.3336	60	5.0035	0	1	0	1.6493086	43	71	1	56.0301	60	3.9699	0	0	1	1.3165045	13	55	81
1	0	1	20260611	155512	52	2	1	70.6773	0.7118	60	10.6773	1	1	1	0.599744	44	72	1	54.9965	60	5.0035	0	1	0	1.6493086	13	55	82
1	0	1	20260611	155514	53	2	1	67.6674	0.5112	60	7.6674	1	0	0	0.7167375	44	72	1	70.6773	60	10.6773	1	1	1	0.599744	13	55	83
1	0	1	20260611	155517	54	2	1	61.7323	0.1155	60	1.7323	1	1	1	0.6190128	45	73	1	67.6674	60	7.6674	1	0	0	0.7167375	13	55	84
1	0	1	20260611	155519	55	2	1	59.5984	-0.0268	60	0.4016	0	0	1	1.1664635	46	74	1	61.7323	60	1.7323	1	1	1	0.6190128	13	55	85
1	0	1	20260611	155522	1	3	2	46.0506	-0.93	60	13.9494	0	0	1	0.5983688	1	75	1	59.5984	60	0.4016	0	0	1	1.1664635	13	41	86
1	0	1	20260611	155525	2	3	2	59.2949	-0.047	60	0.7051	0	0	1	1.5828502	2	76	2	46.0506	60	13.9494	0	0	1	0.5983688	13	41	87
1	0	1	20260611	155529	3	3	2	58.1174	-0.1255	60	1.8826	0	1	0	1.4495517	2	76	2	59.2949	60	0.7051	0	0	1	1.5828502	13	41	88
1	0	1	20260611	155532	4	3	2	48.2364	-0.7842	60	11.7636	0	0	1	0.8659914	3	77	2	58.1174	60	1.8826	0	1	0	1.4495517	13	41	89
1	0	1	20260611	155535	5	3	2	63.9399	0.2627	60	3.9399	1	1	1	1.5374534	4	78	2	48.2364	60	11.7636	0	0	1	0.8659914	13	41	90
1	0	1	20260611	155538	6	3	2	45.4232	-0.9718	60	14.5768	0	0	1	0.750734	5	79	2	63.9399	60	3.9399	1	1	1	1.5374534	13	41	91
1	0	1	20260611	155540	7	3	2	70.7868	0.7191	60	10.7868	1	1	1	1.7354945	6	80	2	45.4232	60	14.5768	0	0	1	0.750734	13	41	92
1	0	1	20260611	155543	8	3	2	72.7826	0.8522	60	12.7826	1	0	0	0.8335768	6	80	2	70.7868	60	10.7868	1	1	1	1.7354945	13	41	93
1	0	1	20260611	155546	9	3	2	60.2291	0.0153	60	0.2291	1	0	0	0.5317207	6	80	2	72.7826	60	12.7826	1	0	0	0.8335768	13	41	94
1	0	1	20260611	155548	10	3	2	51.0003	-0.6	60	8.9997	0	1	0	1.7179456	6	80	2	60.2291	60	0.2291	1	0	0	0.5317207	13	41	95
1	0	1	20260611	155551	11	3	2	45.6316	-0.9579	60	14.3684	0	0	1	0.5663357	7	81	2	51.0003	60	8.9997	0	1	0	1.7179456	13	41	96
1	0	1	20260611	155554	12	3	2	55.4887	-0.3008	60	4.5113	0	0	1	0.764826	8	82	2	45.6316	60	14.3684	0	0	1	0.5663357	13	41	97
1	0	1	20260611	155556	13	3	2	48.3782	-0.7748	60	11.6218	0	0	1	2.5021517	9	83	2	55.4887	60	4.5113	0	0	1	0.764826	13	41	98
1	0	1	20260611	155601	14	3	2	45.9802	-0.9347	60	14.0198	0	0	1	0.5648373	10	84	2	48.3782	60	11.6218	0	0	1	2.5021517	13	41	99
1	0	1	20260611	155603	15	3	2	69.9638	0.6643	60	9.9638	1	1	1	0.6670057	11	85	2	45.9802	60	14.0198	0	0	1	0.5648373	13	41	100
1	0	1	20260611	155605	16	3	2	61.4945	0.0996	60	1.4945	1	0	0	1.9692375	11	85	2	69.9638	60	9.9638	1	1	1	0.6670057	13	41	101
1	0	1	20260611	155609	17	3	2	60.9759	0.0651	60	0.9759	1	0	0	1.1482855	11	85	2	61.4945	60	1.4945	1	0	0	1.9692375	13	41	102
1	0	1	20260611	155612	18	3	2	61.626	0.1084	60	1.626	1	1	1	0.9826151	12	86	2	60.9759	60	0.9759	1	0	0	1.1482855	13	41	103
1	0	1	20260611	155614	19	3	2	56.7693	-0.2154	60	3.2307	0	0	1	0.7665512	13	87	2	61.626	60	1.626	1	1	1	0.9826151	13	41	104
1	0	1	20260611	155617	20	3	2	58.6219	-0.0919	60	1.3781	0	0	1	0.8480244	14	88	2	56.7693	60	3.2307	0	0	1	0.7665512	13	41	105
1	0	1	20260611	155619	21	3	2	54.8496	-0.3434	60	5.1504	0	0	1	0.8825867	15	89	2	58.6219	60	1.3781	0	0	1	0.8480244	13	41	106
1	0	1	20260611	155621	22	3	2	62.9851	0.199	60	2.9851	1	1	1	0.5000712	16	90	2	54.8496	60	5.1504	0	0	1	0.8825867	13	41	107
1	0	1	20260611	155624	23	3	2	67.3437	0.4896	60	7.3437	1	1	1	0.8989444	17	91	2	62.9851	60	2.9851	1	1	1	0.5000712	13	41	108
1	0	1	20260611	155626	24	3	2	61.0861	0.0724	60	1.0861	1	1	1	1.1856728	18	92	2	67.3437	60	7.3437	1	1	1	0.8989444	13	41	109
1	0	1	20260611	155629	25	3	2	64.77	0.318	60	4.77	1	1	1	0.8646806	19	93	2	61.0861	60	1.0861	1	1	1	1.1856728	13	41	110
1	0	1	20260611	155631	26	3	2	70.2458	0.6831	60	10.2458	1	1	1	1.4717	20	94	2	64.77	60	4.77	1	1	1	0.8646806	13	41	111
1	0	1	20260611	155635	27	3	2	66.6292	0.4419	60	6.6292	1	1	1	1.0661567	21	95	2	70.2458	60	10.2458	1	1	1	1.4717	13	41	112
1	0	1	20260611	155638	28	3	2	51.357	-0.5762	60	8.643	0	0	1	0.7655182	22	96	2	66.6292	60	6.6292	1	1	1	1.0661567	13	41	113
1	0	1	20260611	155640	29	3	2	61.0805	0.072	60	1.0805	1	0	0	0.5655915	22	96	2	51.357	60	8.643	0	0	1	0.7655182	13	41	114
1	0	1	20260611	155642	30	3	2	47.2892	-0.8474	60	12.7108	0	1	0	0.6003464	22	96	2	61.0805	60	1.0805	1	0	0	0.5655915	13	41	115
1	0	1	20260611	155645	31	3	2	59.8893	-0.0074	60	0.1107	0	1	0	1.3365363	22	96	2	47.2892	60	12.7108	0	1	0	0.6003464	13	41	116
1	0	1	20260611	155648	32	3	2	54.6499	-0.3567	60	5.3501	0	1	0	0.5492161	22	96	2	59.8893	60	0.1107	0	1	0	1.3365363	13	41	117
1	0	1	20260611	155650	33	3	2	57.75	-0.15	60	2.25	0	0	1	2.4005626	23	97	2	54.6499	60	5.3501	0	1	0	0.5492161	13	41	118
1	0	1	20260611	155654	34	3	2	47.9132	-0.8058	60	12.0868	0	0	1	0.8157714	24	98	2	57.75	60	2.25	0	0	1	2.4005626	13	41	119
